date;casos;casos_novos
06/03/2020;1;1
07/03/2020;2;1
08/03/2020;2;0
09/03/2020;2;0
10/03/2020;2;0
11/03/2020;3;1
12/03/2020;3;0
13/03/2020;7;4
14/03/2020;7;0
15/03/2020;9;2
16/03/2020;10;1
17/03/2020;14;4
18/03/2020;27;13
19/03/2020;31;4
20/03/2020;34;3
21/03/2020;41;7
22/03/2020;55;14
23/03/2020;63;8
24/03/2020;79;16
25/03/2020;91;12
26/03/2020;108;17
27/03/2020;123;15
28/03/2020;127;4
29/03/2020;156;29
30/03/2020;176;20
31/03/2020;217;41
01/04/2020;246;29
02/04/2020;267;21
03/04/2020;290;23
04/04/2020;336;46
05/04/2020;401;65
06/04/2020;437;36
07/04/2020;462;25
08/04/2020;515;53
09/04/2020;568;53
10/04/2020;616;48
11/04/2020;640;24
12/04/2020;674;34
13/04/2020;723;49
14/04/2020;776;53
15/04/2020;884;108
16/04/2020;967;83
17/04/2020;1064;97
