Faixa_etaria;Populacao;Genero
00-04;-468398;Homem
05-09;-488372;Homem
10-14;-599955;Homem
15-19;-660141;Homem
20-24;-556267;Homem
25-29;-460265;Homem
30-34;-563601;Homem
35-39;-567838;Homem
40-44;-561826;Homem
45-49;-417602;Homem
50-54;-424763;Homem
55-59;-366133;Homem
60-64;-300750;Homem
65-69;-248797;Homem
70-74;-190425;Homem
75-79;-144749;Homem
80-84;-66825;Homem
85-89;-54489;Homem
90+;-24203;Homem
00-04;466260;Mulher
05-09;535468;Mulher
10-14;529478;Mulher
15-19;654398;Mulher
20-24;523171;Mulher
25-29;513336;Mulher
30-34;606408;Mulher
35-39;630711;Mulher
40-44;594954;Mulher
45-49;474764;Mulher
50-54;482612;Mulher
55-59;404242;Mulher
60-64;366747;Mulher
65-69;307455;Mulher
70-74;218305;Mulher
75-79;152816;Mulher
80-84;96519;Mulher
85-89;63740;Mulher
90+;45164;Mulher
