days;doubles_every_day;doubles_every_2_days;doubles_every_3_days;doubles_every_week
1;0;0;0;0
2;0,78;0,55;0,98;0,85
3;1,56;1,56;1,24;0,95
4;3,12;2,2;1,56;1,05
5;6,25;3,12;1,96;1,16
6;12,5;4,4;2,48;1,28
7;25;6,25;3,12;1,41
8;50;8,81;3,93;1,56
9;100;12,5;4,96;1,71
10;200;17,62;6,25;1,9
11;400;25;7,87;2,1
12;800;35,25;9,93;2,32
13;1600;50;12,5;2,56
14;3200;70,5;15,75;2,82
15;6400;100;19,87;3,12
16;12800;141;25;3,43
17;25600;200;31,5;3,81
18;51200;283;39,75;4,21
19;102400;400;50;4,65
20;204800;566;63;5,12
21;409600;800;79,5;5,65
22;819200;1131;100;6,25
23;1638400;1600;126;6,87
24;3276800;2263;159;7,62
25;;3200;200;8,43
26;;4525;252;9,31
27;;6400;317;10,25
28;;9051;400;11,31
29;;12800;504;12,5
30;;18102;635;13,75
31;;;800;15,25
32;;;1008;16,87
33;;;1270;18,62
34;;;1600;20,5
35;;;2016;22,62
36;;;2540;25
37;;;3200;27,5
38;;;4032;30,5
39;;;5080;33,75
40;;;6400;37,25
41;;;8064;41
42;;;10160;45,25
43;;;12800;50
44;;;16128;55
45;;;20320;61
46;;;;67,5
47;;;;74,5
48;;;;82
49;;;;90,5
50;;;;100
51;;;;110
52;;;;122
53;;;;135
54;;;;149
55;;;;164
56;;;;181
57;;;;200
58;;;;221
59;;;;244
60;;;;269
61;;;;297
62;;;;328
63;;;;362
64;;;;400
65;;;;442
